#pftX-cth and pftX-cbh are the site=specific canopy top and bottom heights
#start_year and end_year will be used to define DATM_YR_ALIGN, DATM_YR_START and DATM_YR_END, and STOP_N in units of nyears.
#RUN_STARTDATE and START_TOD are specified because we are starting at GMT corresponding to local midnight.
#ATM_NCPL is specified so that the time step of the model matches the time interval specified by the atm forcing data.
#The *_SPIN variables are those that need to be set explicitly for spinup because they can be different for each site
,Site,Lat,Lon,pft1,pft1-%,pft1-cth,pft1-cbh,pft2,pft2-%,pft2-cth,pft2-cbh,start_year,end_year,RUN_STARTDATE,START_TOD,ATM_NCPL,RUN_STARTDATE_SPIN,CALENDAR_SPIN,DATM_YR_START_SPIN,DATM_YR_END_SPIN,DATM_YR_ALIGN_SPIN,START_TOD_SPIN
127,US-AR1,36.426701,-99.419983,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2010,2012,2010-01-01,21600,48 ,0001-01-01,NO_LEAP,2011,2011,1,21600
128,US-AR2,36.635799,-99.597504,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2010,2011,2010-01-01,21600,48 ,0001-01-01,NO_LEAP,2011,2011,1,21600
129,US-ARM,36.605801,-97.488800,15,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2003,2012,2003-01-01,21600,48 ,2004-01-01,GREGORIAN,2004,2011,2004,21600
130,US-Aud,31.590700,-110.509201,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2003,2005,2003-01-01,25200,48 ,0001-01-01,NO_LEAP,2004,2004,1,25200
131,US-Bar,44.064640,-71.288086,1, 8.43,21.00,10.50,7,91.57,21.00,12.07,2005,2005,2005-01-01,18000,48 ,0001-01-01,NO_LEAP,2005,2005,1,18000
132,US-Bkg,44.345291,-96.836182,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2005,2006,2005-01-01,21600,48 ,0001-01-01,NO_LEAP,2006,2006,1,21600
133,US-Blo,38.895302,-120.632751,1,100.00, 4.70, 2.35,-999,-999.00,-999.00,-999.00,2000,2006,2000-01-01,28800,48 ,2001-01-01,GREGORIAN,2001,2004,2001,28800
134,US-Bo1,40.006199,-88.290405,15,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,1997,2006,1997-01-01,21600,48 ,1998-01-01,GREGORIAN,1998,2005,1998,21600
135,US-Cop,38.090000,-109.389999,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2002,2003,2002-01-01,25200,24 ,0001-01-01,NO_LEAP,2003,2003,1,25200
136,US-FPe,48.307701,-105.101898,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2000,2006,2000-01-01,25200,48 ,2001-01-01,GREGORIAN,2001,2004,2001,25200
137,US-GLE,41.366501,-106.239899,1,100.00,10.00, 5.00,-999,-999.00,-999.00,-999.00,2009,2014,2009-01-01,25200,48 ,2010-01-01,GREGORIAN,2010,2013,2010,25200
138,US-Goo,34.254700,-89.873505,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2004,2006,2004-01-01,21600,48 ,0001-01-01,NO_LEAP,2005,2005,1,21600
139,US-Ha1,42.537800,-72.171509,7,100.00,25.00,14.37,-999,-999.00,-999.00,-999.00,1992,2012,1992-01-01,18000,24 ,1993-01-01,GREGORIAN,1993,2008,1993,18000
140,US-Ho1,45.204102,-68.740204,1,100.00,20.00,10.00,-999,-999.00,-999.00,-999.00,1996,2004,1996-01-01,18000,48 ,1997-01-01,GREGORIAN,1997,2000,1997,18000
141,US-KS2,28.608578,-80.671539,10,70.00, 2.00, 0.40,14,30.00, 0.50, 0.01,2003,2006,2003-01-01,18000,48 ,0001-01-01,NO_LEAP,2004,2004,1,18000
142,US-Los,46.082699,-89.979187,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2000,2008,2000-01-01,21600,48 ,2001-01-01,GREGORIAN,2001,2004,2001,21600
143,US-Me2,44.452301,-121.557404,1,100.00,16.00, 8.00,-999,-999.00,-999.00,-999.00,2002,2014,2002-01-01,28800,48 ,2003-01-01,GREGORIAN,2003,2010,2003,28800
144,US-Me4,44.499199,-121.622406,1,100.00,20.00,10.00,-999,-999.00,-999.00,-999.00,1996,2000,1996-01-01,28800,48 ,0001-01-01,NO_LEAP,1997,1997,1,28800
145,US-Me6,44.323299,-121.607803,1,100.00, 5.20, 2.60,-999,-999.00,-999.00,-999.00,2011,2014,2011-01-01,28800,48 ,0001-01-01,NO_LEAP,2012,2012,1,28800
146,US-MMS,39.323200,-86.413086,7,100.00,27.00,15.52,-999,-999.00,-999.00,-999.00,1999,2014,1999-01-01,18000,24 ,2000-01-01,GREGORIAN,2000,2011,2000,18000
147,US-MOz,38.744110,-92.200012,7,100.00,24.00,13.80,-999,-999.00,-999.00,-999.00,2005,2006,2005-01-01,21600,48 ,0001-01-01,NO_LEAP,2006,2006,1,21600
148,US-Myb,38.049801,-121.765106,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2011,2014,2011-01-01,28800,48 ,0001-01-01,NO_LEAP,2012,2012,1,28800
149,US-Ne1,41.165100,-96.476593,-999,-999.00,-999.00,-999.00,16,100.00, 0.50, 0.01,2002,2012,2002-01-01,21600,24 ,2003-01-01,GREGORIAN,2003,2010,2003,21600
150,US-Ne2,41.164902,-96.470093,-999,-999.00,-999.00,-999.00,16,100.00, 0.50, 0.01,2002,2012,2002-01-01,21600,24 ,2003-01-01,GREGORIAN,2003,2010,2003,21600
151,US-Ne3,41.179699,-96.439697,15,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2002,2012,2002-01-01,21600,24 ,2003-01-01,GREGORIAN,2003,2010,2003,21600
152,US-NR1,40.032902,-105.546402,1,100.00,12.00, 6.00,-999,-999.00,-999.00,-999.00,1999,2014,1999-01-01,25200,48 ,2000-01-01,GREGORIAN,2000,2011,2000,25200
153,US-PFa,45.945900,-90.272308,1, 8.18,30.00,15.00,7,91.82,30.00,17.25,1995,2014,1995-01-01,21600,24 ,1996-01-01,GREGORIAN,1996,2011,1996,21600
154,US-Prr,65.123703,-147.487595,2,100.00, 7.00, 3.50,-999,-999.00,-999.00,-999.00,2011,2013,2011-01-01,32400,48 ,0001-01-01,NO_LEAP,2012,2012,1,32400
155,US-SP1,29.738070,-82.218781,1,100.00,22.00,11.00,-999,-999.00,-999.00,-999.00,2005,2005,2005-01-01,18000,48 ,0001-01-01,NO_LEAP,2005,2005,1,18000
156,US-SP2,29.764799,-82.244812,1,100.00, 1.00, 0.50,-999,-999.00,-999.00,-999.00,2000,2004,2000-01-01,18000,48 ,0001-01-01,NO_LEAP,2001,2001,1,18000
157,US-SP3,29.754770,-82.163269,5,100.00,10.00, 0.29,-999,-999.00,-999.00,-999.00,1999,2004,1999-01-01,18000,48 ,2000-01-01,GREGORIAN,2000,2003,2000,18000
158,US-SRG,31.789400,-110.827698,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2009,2014,2009-01-01,25200,48 ,2010-01-01,GREGORIAN,2010,2013,2010,25200
159,US-SRM,31.821400,-110.865997,7,70.00, 2.50, 1.44,14,30.00, 0.50, 0.01,2004,2014,2004-01-01,25200,48 ,2005-01-01,GREGORIAN,2005,2012,2005,25200
160,US-Syv,46.242001,-89.347717,1, 4.91,27.00,13.50,7,95.09,27.00,15.53,2002,2008,2002-01-01,21600,48 ,2003-01-01,GREGORIAN,2003,2006,2003,21600
161,US-Ton,38.431599,-120.966003,7,70.00, 7.10, 4.08,14,30.00, 0.50, 0.01,2001,2014,2001-01-01,28800,48 ,2002-01-01,GREGORIAN,2002,2013,2002,28800
162,US-Tw4,38.103001,-121.641403,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2014,2014,2014-01-01,28800,48 ,0001-01-01,NO_LEAP,2014,2014,1,28800
163,US-Twt,38.108700,-121.653107,-999,-999.00,-999.00,-999.00,16,100.00, 0.50, 0.01,2010,2014,2010-01-01,28800,48 ,0001-01-01,NO_LEAP,2011,2011,1,28800
164,US-UMB,45.559799,-84.713806,7,100.00,20.00,11.50,-999,-999.00,-999.00,-999.00,2000,2014,2000-01-01,18000,24 ,2001-01-01,GREGORIAN,2001,2012,2001,18000
165,US-Var,38.413300,-120.950729,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2001,2014,2001-01-01,28800,48 ,2002-01-01,GREGORIAN,2002,2013,2002,28800
166,US-WCr,45.805901,-90.079895,7,100.00,24.00,13.80,-999,-999.00,-999.00,-999.00,1999,2006,1999-01-01,21600,48 ,2000-01-01,GREGORIAN,2000,2003,2000,21600
167,US-Whs,31.743799,-110.052200,10,30.00, 0.50, 0.10,14,70.00, 0.50, 0.01,2008,2014,2008-01-01,25200,48 ,2009-01-01,GREGORIAN,2009,2012,2009,25200
168,US-Wkg,31.736500,-109.941895,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2005,2014,2005-01-01,25200,48 ,2006-01-01,GREGORIAN,2006,2013,2006,25200
169,ZA-Kru,-25.019699,31.496901,6,30.00,12.00, 6.67,14,70.00, 0.50, 0.01,2000,2002,1999-12-31,79200,48 ,0001-01-01,NO_LEAP,2000,2000,1,0
170,ZM-Mon,-15.437778,23.252781,6,100.00,12.00, 6.67,-999,-999.00,-999.00,-999.00,2008,2008,2007-12-31,79200,48 ,0001-01-01,NO_LEAP,2008,2008,1,79200
